name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Sarah Adams,0000-0002-4737-4507,,Australian Journal of Management,Understanding Collective Impact in Australia: A new approach to interorganizational collaboration,2018,4,"Salignac F, Wilcox T, Marjolin A and Adams S",10.1177/0312896217705178,https://doi.org/10.1177/0312896217705178,https://doi.org/10.1177/0312896217705178,A,Q1,0.88990826,41,2.311,green,http://hdl.handle.net/1959.4/unsworks_47812,published,ANU staff profile
Lily Chen,,,The Accounting Review,In Financial statements we trust: Institutional investors’ stockholdings after restatements,2023,3,"Cahan, C., Chen, C., Chen, L",10.2308/TAR-2019-0654,https://doi.org/10.2308/TAR-2019-0654,https://doi.org/10.2308/TAR-2019-0654,A*,Q1,0.97478098,21,8.0034,closed,,published,ANU staff profile
Lily Chen,,,Journal of Management Accounting Research,How Integrated Thinking Can Be Detected in Management Disclosures in Annual Reports: Insights from a Large-Scale Text-Analysis Approach,2023,3,"Dimes, R., de Villiers, C., Chen, L",10.2308/JMAR-2022-082,https://doi.org/10.2308/JMAR-2022-082,https://doi.org/10.2308/JMAR-2022-082.,A*,Q1,0.92148008,15,3.3336,bronze,https://publications.aaahq.org/jmar/article-pdf/35/3/75/101338/i1049-2127-35-3-75.pdf,published,ANU staff profile
Lily Chen,,,Journal of Business Finance & Accounting,Shareholder election of CSR committee members and its effects on CSR performance,2022,3,"Khoo, E., Chen, L., Monroe, G",10.1111/jbfa.12643,https://doi.org/10.1111/jbfa.12643,https://onlinelibrary.wiley.com/doi/abs/10.1111/jbfa.12643,A*,Q1,0.89587189,23,2.3968,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbfa.12643,published,ANU staff profile
Lily Chen,,,Journal of International Accounting Research,"Business strategy, financial reporting violations, and audit pricing in an emerging market – evidence from China",2022,4,"Chen, L., Hu, F, Krishnan, A, Li, Z",10.2308/JIAR-2021-054,https://doi.org/10.2308/JIAR-2021-054,https://doi:%2010.2308/JIAR-2021-054,A,Q2,0.67902503,4,0.5581,green,https://hdl.handle.net/2292/59715,published,ANU staff profile
Lily Chen,,,Meditari Accountancy Research,Use of In-house Internal Audit Functions in New Zealand,2022,3,"Prasad, N., Hay, D., & Chen, L",10.1108/MEDAR-03-2020-0803,https://doi.org/10.1108/MEDAR-03-2020-0803,https://www.emerald.com/insight/content/doi/10.1108/MEDAR-03-2020-0803/full/html,A,Q1,0.78624214,4,1.1162,closed,,published,ANU staff profile
Lily Chen,,,Accounting and Finance,Do local social norms affect investors’ involvement in social activism? Revisiting the case of US institutional investors,2021,3,"Cahan, S., Chen, C., & Chen, C",10.1111/acfi.12649,https://doi.org/10.1111/acfi.12649,https://doi.org/10.1111/acfi.12649,A,Q1,0.83803866,13,1.0562,closed,,published,ANU staff profile
Lily Chen,,,Meditari Accountancy Research,Does deal size moderate the effects of board faultlines? Evidence from acquisitions?,2021,3,"Tidbury, D., Cahan, S., & Chen, L",10.1108/medar-06-2020-0919,https://doi.org/10.1108/medar-06-2020-0919,https://doi.org/10.1108/medar-06-2020-0919,A,Q1,0.11737606,3,0.0,closed,,published,ANU staff profile
Lily Chen,,,Accounting and Finance,Initial public offering prospectus forecast errors and mandatory explanations: evidence from New Zealand,2020,3,"Chen, L., Hay, D., & Zhuang, J",10.1111/acfi.12428,https://doi.org/10.1111/acfi.12428,http://dx.doi.org/10.1111/acfi.12428,A,Q1,0.85646636,7,1.4334,closed,,published,ANU staff profile
Lily Chen,,,Journal of Cleaner Production,A framework for the practice of corporate environmental responsibility in China,2019,3,"Qin, Y., Harrison, J., & Chen, L",10.1016/j.jclepro.2019.06.245,https://doi.org/10.1016/j.jclepro.2019.06.245,https://doi.org/10.1016/j.jclepro.2019.06.245,C,Q1,0.98686377,121,13.1623,closed,,published,ANU staff profile
