name,orcid,source_id,journal_name,title,year,author_count,authors,doi,article_url,link,quality_rank,sjr_quartile,citation_percentile,cited_by_count,fwci,oa_status,oa_url,publication_status,source
Nicole Ang,,,Behavioral Research in Accounting,Does Self-certification Encourage or Reduce Escalation of Commitment?,2016,2.0,Ang N; Cheng M,10.2308/bria-51468,https://doi.org/10.2308/bria-51468,http://dx.doi.org/10.2308/bria-51468,A,Q2,0.83468769,12.0,1.1382,closed,,published,UNSW staff profile
Nicole Ang,,,Behavioral Research in Accounting,The Utilization of Quantitative and Qualitative Information in Groups' Capital Investment Decisions,2015,2.0,Ang NP; Trotman KT,10.2308/bria-50917,https://doi.org/10.2308/bria-50917,http://dx.doi.org/10.2308/bria-50917,A,Q2,0.7300635,13.0,0.4004,closed,,published,UNSW staff profile
Nicole Ang,,,Accounting and Finance,Fifty-year Overview of Judgment and Decision-making Research in Accounting.,2011,3.0,Trotman KT; Ang N; Tan HC,10.1111/j.1467-629X.2010.00398.x,https://doi.org/10.1111/j.1467-629X.2010.00398.x,http://dx.doi.org/10.1111/j.1467-629X.2010.00398.x,A,Q1,0.98425587,133.0,14.0615,closed,,published,UNSW staff profile
Nicole Ang,,,Abacus,The incentives of Australian public companies lobbying against proposed superannuation accounting standards,2000,3.0,Ang N; Gallery G; Sidhu BK,10.1111/1467-6281.00053,https://doi.org/10.1111/1467-6281.00053,http://dx.doi.org/10.1111/1467-6281.00053,A,Q2,0.96454005,58.0,7.0596,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-6281.00053,published,UNSW staff profile
Nicole Ang,,,Accounting and Finance,The value relevance of superannuation disclosures by Australian-listed firms sponsoring defined benefit plans,1999,3.0,Ang NP; Gallery G; Sidhu BK,10.1111/1467-629X.00024,https://doi.org/10.1111/1467-629X.00024,http://dx.doi.org/10.1111/1467-629X.00024,A,Q1,0.91139756,15.0,2.5898,closed,,published,UNSW staff profile
Maria Balatbat,0000-0001-5180-0057,,Abacus,Towards Credible GHG Reporting: The Role of GHG Assurance and Assurance Providers in Firm Valuation,2026,3.0,Bose S; Balatbat M; Green W,10.1111/abac.70033,https://doi.org/10.1111/abac.70033,http://dx.doi.org/10.1111/abac.70033,A,Q2,0.31498976,0.0,0.0,hybrid,https://doi.org/10.1111/abac.70033,published,UNSW staff profile
Maria Balatbat,0000-0001-5180-0057,,"Environment, Development and Sustainability",The financial additionality and viability of CDM projects allowing for uncertainty,2016,3.0,Carmichael DG; Lea KA; Balatbat MCA,10.1007/s10668-015-9630-5,https://doi.org/10.1007/s10668-015-9630-5,http://dx.doi.org/10.1007/s10668-015-9630-5,,Q1,0.96291148,17.0,6.6218,closed,,published,UNSW staff profile
Maria Balatbat,0000-0001-5180-0057,,International Journal of Construction Management,A proposed framework for assessing the sustainability of infrastructure,2016,3.0,Siew RYJ; Balatbat MCA; Carmichael DG,10.1080/15623599.2016.1146115,https://doi.org/10.1080/15623599.2016.1146115,http://dx.doi.org/10.1080/15623599.2016.1146115,B,Q1,0.85985833,31.0,2.1598,closed,,published,UNSW staff profile
Maria Balatbat,0000-0001-5180-0057,,International Journal of Sustainable Development,Measuring project sustainability maturity level - A fuzzy-based approach,2016,3.0,Siew RYJ; Balatbat MCA; Carmichael DG,10.1504/IJSD.2016.073680,https://doi.org/10.1504/IJSD.2016.073680,http://dx.doi.org/10.1504/IJSD.2016.073680,,Q4,0.8652871,16.0,1.6467,closed,,published,UNSW staff profile
Maria Balatbat,0000-0001-5180-0057,,Asia-Pacific Journal of Accounting and Economics,The impact of ESG disclosures and institutional ownership on market information asymmetry,2016,3.0,Siew RYJ; Balatbat MCA; Carmichael DG,10.1080/16081625.2016.1170100,https://doi.org/10.1080/16081625.2016.1170100,http://dx.doi.org/10.1080/16081625.2016.1170100,B,Q2,0.9433682,118.0,4.3794,closed,,published,UNSW staff profile
