"publication_id","title","publication_year","publication_status","article_url","doi","journal","issn","eissn","volume","issue","pages","authors","item_type","open_access","accounting_affiliation_observed","abdc_rating","abdc_for","abdc_journal_title","abdc_match_method","abdc_match_status","abdc_list_version","source_url","harvested_at"
"a-new-commonwealth-individual-disability-advocacy-program-submiss","A New Commonwealth Individual Disability Advocacy Program: Submission to the Department of Health, Ageing and Disability","2026","Published - 16 Jan 2026","https://research-repository.uwa.edu.au/en/publications/a-new-commonwealth-individual-disability-advocacy-program-submiss/","","","","","","","","David Gilchrist, Ben Perks","Research output: Working paper › Discussion paper","true","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"asymmetric-impact-of-compliance-management-reform-on-opportunisti","Asymmetric impact of compliance management reform on opportunistic insider trading: Evidence from Chinese state-owned enterprises","2026","Published - Jun 2026","https://research-repository.uwa.edu.au/en/publications/asymmetric-impact-of-compliance-management-reform-on-opportunisti/","10.1016/j.ememar.2026.101438","Emerging Markets Review","1566-0141","","72","","","Wencheng Cao, Yuan George Shan, Joey Wenling Yang","Research output: Contribution to journal › Article › peer-review","true","true","A","3502","Emerging Markets Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"civil-society-and-social-capital-in-australia-and-new-zealand","Civil Society and Social Capital in Australia and New Zealand","2026","Published - 2026","https://research-repository.uwa.edu.au/en/publications/civil-society-and-social-capital-in-australia-and-new-zealand/","","","","","","","","David Gilchrist, Ben Perks","Research output: Chapter in Book/Conference paper › Entry for encyclopedia/dictionary › peer-review","false","true","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"corporate-responses-to-the-climate-transition-evidence-on-transit","Corporate responses to the climate transition: evidence on transition planning, tax planning, and R&D investment","2026","Unpublished - 2026","https://research-repository.uwa.edu.au/en/publications/corporate-responses-to-the-climate-transition-evidence-on-transit/","10.26182/k4q4-hh21","","","","","","","Aonan Sun","Research output: Thesis › Doctoral Thesis","true","false","","","","unmatched","unmatched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"developing-professional-scepticism-in-the-accounting-classroom-a-","Developing Professional Scepticism in the Accounting Classroom: A Case Study Approach","2026","Published - Jun 2026","https://research-repository.uwa.edu.au/en/publications/developing-professional-scepticism-in-the-accounting-classroom-a-/","10.1111/acfi.70206","Accounting & Finance","0810-5391","","66","2","1847-1868","Prerana Agrawal, Jac Birt, Mark Holub, Warrick Van Zyl","Research output: Contribution to journal › Article › peer-review","true","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"do-corporate-imitation-behaviors-of-csr-practices-affect-bank-loa","Do corporate imitation behaviors of CSR practices affect bank loan contracting? Evidence from a text-based measure","2026","Published - 3 Feb 2026","https://research-repository.uwa.edu.au/en/publications/do-corporate-imitation-behaviors-of-csr-practices-affect-bank-loa/","10.1108/IJMF-04-2025-0173","International Journal of Managerial Finance","1743-9132","","22","1","90-127","Wencheng Cao, Yuan George Shan, Jianbo Song","Research output: Contribution to journal › Article › peer-review","false","true","A","3502","International Journal of Managerial Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"does-artificial-intelligence-mitigate-climate-change-exposure","Does artificial intelligence mitigate climate change exposure?","2026","Published - Feb 2026","https://research-repository.uwa.edu.au/en/publications/does-artificial-intelligence-mitigate-climate-change-exposure/","10.1016/j.jbankfin.2025.107623","Journal of Banking & Finance","1872-6372","","183","107623","","Alex Zhang, Le Luo, Joey Yang","Research output: Contribution to journal › Article › peer-review","true","true","A*","3502","Journal of Banking & Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"from-human-hands-to-machine-minds-financing-ai-driven-entrepreneu-2","From Human Hands to Machine Minds: Financing AI-Driven Entrepreneurship in Reward-Based Crowdfunding","2026","Published - Jun 2026","https://research-repository.uwa.edu.au/en/publications/from-human-hands-to-machine-minds-financing-ai-driven-entrepreneu-2/","10.1111/acfi.70207","Accounting and Finance","0810-5391","","66","2","1055-1076","Zirui Song, Yihui Lan, Yuan George Shan","Research output: Contribution to journal › Article › peer-review","true","true","A","3501","Accounting and Finance","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"grain-by-grain-how-rice-farming-cultivates-esg-rating-consistency","Grain by grain: How rice farming cultivates ESG rating consistency?","2026","Published - Sept 2026","https://research-repository.uwa.edu.au/en/publications/grain-by-grain-how-rice-farming-cultivates-esg-rating-consistency/","10.1016/j.ememar.2026.101525","Emerging Markets Review","1566-0141","","74","","","Xin Wang, Wencheng Cao, Yuan George Shan, Joey Wenling Yang","Research output: Contribution to journal › Article › peer-review","true","true","A","3502","Emerging Markets Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
"information-processing-gap-and-insider-trading-profitability-evid","Information-processing gap and insider trading profitability: Evidence from the XBRL mandate","2026","E-pub ahead of print - 2026","https://research-repository.uwa.edu.au/en/publications/information-processing-gap-and-insider-trading-profitability-evid/","10.1016/j.bar.2026.101941","British Accounting Review","0890-8389","","","","","Yuyun Huang, Jerry T. Parwada, Yuan George Shan, Joey W. Yang","Research output: Contribution to journal › Article › peer-review","true","true","A*","3501","British Accounting Review","ISSN/eISSN","matched","2025-v2-270526","https://research-repository.uwa.edu.au/en/organisations/accounting/","2026-08-11T16:56:18.032Z"
