title,doi,reason
A Review and Study of Project Investment Cash Flow Correlations,,no DOI recorded
Use of proceeds disclosures in IPO prospectuses:  do issuers come clean?,,no DOI recorded
Can Death Concession Rule Maintain Eternal Pre-CGT Asset Status for Entity Owned Assets?,,no DOI recorded
Capital payment in place of dividend issue in Ierna case: Selected observations,,no DOI recorded
Discretionary trust income allocations: Can ATO successfully challenge exercise of trustee’s discretion?,,no DOI recorded
Ierna case restructure: Was the Division 615 rollover really available?,,no DOI recorded
Streaming of partnership receipts to partners: An initial contribution,10.3316/informit.t2024042600008892121589371,DOI not found in OpenAlex
Burton case (only 50% foreign income tax offset) presents challenge for assessable income limb of the GAAR,,no DOI recorded
COVID-19 pandemic and working at home: Reminder to query ATO statements denying home occupancy expense claims,,no DOI recorded
Clough case re payout of employee entitlements on takeover of employer: Analysis questionable on 2 fronts,,no DOI recorded
Deduction for loss on sale of owner-occupied dwelling in Bowerman: Where to from here?,,no DOI recorded
Reviewing Burton: Has the Australia-U.S. Tax Treaty’s FTC Article Failed to Deliver?,,no DOI recorded
Section 100A does not apply where under 18-year old beneficiary is entitled: Another mystery surrounding discretionary trusts?,,no DOI recorded
"Although 36 years late, repeal of s 82A better late than never",,no DOI recorded
Australia’s denial of depreciation deductions for second-hand assets used in residential rental properties: Rationales appear obscure,,no DOI recorded
Is deduction denial a viable policy for persistent and sector wide overclaiming of selected expenses?,,no DOI recorded
Land realisations where no profit purpose at time of acquisition: Analysis should align with model or paradigm purpose rule,,no DOI recorded
The taxable facts as at 30 June rule from Carter does not have universal application: A reminder,,no DOI recorded
Valid disclaimer of trustee appointed trust income creates timely present entitlement for default income beneficiary?,,no DOI recorded
"Franked distributions of trusts: systematic method of allocating them and other taxable income, with analysis of defective provisions",,no DOI recorded
Partnership accounting profit/loss differs from its taxable income/tax loss: Why zero or little commentary in tax literature?,,no DOI recorded
Review of Australian discretionary trust and foreign beneficiaries’ foreign net capital gains: Desirable but unlikely,,no DOI recorded
Deemed Dividend Rules: Tax Free Extraction of Profits and Exploitation of Structural Foundations of the Income Tax Regime,,no DOI recorded
Myer isolated transactions doctrine (first strand) at 33-year anniversary,,no DOI recorded
"The age of the home worker - Part 2: calculation of home occupancy expenses, deduction apportionment and partial loss of CGT main residence exemptions",,no DOI recorded
No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 1,,no DOI recorded
No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 2,,no DOI recorded
No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 3,,no DOI recorded
Streaming of Franking Credits Curtailed by Bamford-Induced Amendments - an Unintended Consequence?,,no DOI recorded
The age of the home worker – part 1: deductibility of home occupancy expenses,,no DOI recorded
Net capital gains of trusts: A systematic method of allocating those gains and other taxable income and analysis of problematic and anomalous issues,,no DOI recorded
The implementation of the goods and services tax in Malaysia: Potential issues perceived by business taxpayers,,no DOI recorded
Who Bears the Burden for Business Losses: To What Extent Are Liability Issues of Business Structures Taught in Australian Accounting Degrees?,,no DOI recorded
Division 7A and s 109 associate taxpayer rule allows for “manufacture” of taxpaying units with adult tax-free threshold: some food for thought,,no DOI recorded
Taxation of SMSF Capital gains where total super balance exceeds $1.6m: Can trustee use unapplied net capital losses,,no DOI recorded
"Determining proper taxpayer for a ""notional"" net capital gain on vesting of a discretionary trust asset is problematic",,no DOI recorded
Labor’s alternative minimum income tax for discretionary trust allocations,,no DOI recorded
Labor’s proposed discretionary trust tax reform: Is there an over-taxation problem?,,no DOI recorded
"ATO's new individual professional practitioner (IPP) taxing measure: background, context and policy analysis",,no DOI recorded
Negative gearing - Is another judicial view possible?,,no DOI recorded
Can stakeholders be satisfied with accountants' education to act as advisors to self managed superannuation funds?,,no DOI recorded
Car depreciation cost base limit: Why are cars singled out for deduction denial of luxury expenditure?,,no DOI recorded
Home office expenses: claiming occupancy costs when the employer does not provide a workplace,,no DOI recorded
Professionals' tax break overturned,,no DOI recorded
Recording entitlement rule in new trust streaming provisions: Has Parliament handed a tax-planning gift to tax planners?,,no DOI recorded
Recording entitlement rule in trust streaming provisions allows for creation of mismatches,,no DOI recorded
SOME COMMENTS ON THE ROLE OF A REVIEWER (REFEREE) OF AN ARTICLE,,no DOI recorded
Step-up in cost base for MIT investors where “over-taxation” occurs: What about closely held trusts,,no DOI recorded
Removal of the GST low value threshold: Analysis of main design options and enforcement issues,,no DOI recorded
Pattern of distributions test for discretionary trusts: defects reveal questionable policy design and implementation,,no DOI recorded
"Reconciling the Overlap of Charging Provisions in Regard to Non-Cash Benefits from Employment, Personal Exertion and Business",,no DOI recorded
Changing use of business structures: Have university business law teachers failed to reflect this in their teaching?,,no DOI recorded
Shedding light on the two strands in Myer Emporium and related issues,,no DOI recorded
Defective pattern of distributions test guarantees revenue loss usage,,no DOI recorded
Lambert v FCT: Accountant and taxpayer trip up over discretionary trust,,no DOI recorded
Streaming notional net capital gains on vesting of discretionary trust asset in beneficiary: The “net financial benefit” difficulty,,no DOI recorded
The taxation of trusts: discourse has not been helpful,,no DOI recorded
"CGT Event K7 provides loss recognition for personal consumption expenditure; History, anomalies and policy basis",,no DOI recorded
Extinguishment of tax attributes (e.g. losses) on death under Australia's income tax is anomalous and inequitable,,no DOI recorded
"Removal of FBT statutory formula for valuing car fringe benefits is ""just"" the removal of a tax concession",,no DOI recorded
The Oswal Case: difficulty of streaming a notional net capital gain to a beneficiary who has a vested interest in the asset,,no DOI recorded
What should be the timing rule for 'derivation' of assessable income by beneficiaries of discretionary trusts?,,no DOI recorded
An ordered approach to the tax rules for problem solving in a first Australian income taxation law course can improve student performance,,no DOI recorded
Another skirmish on the discretionary trust battlefield,,no DOI recorded
A loss-carryback rule for business losses in Australia: Some initial thoughts,,no DOI recorded
High Court special leave application in Clark trust resettlement case: suggested considerations - Part 1,,no DOI recorded
High Court special leave application in Clark trust resettlement case: suggested considerations - Part 2,,no DOI recorded
Is the Clark trust case a reminder of another mystery “lurking” in the Trust Loss Rules?,,no DOI recorded
Theft of trading stock: preventing a double deduction on loss by theft is problematic,,no DOI recorded
Special leave application in Anstis raises some fundamental issues,,no DOI recorded
Self-education expenses - the importance of the Anstis case,,no DOI recorded
Taxing the family home: status quo is not a principled position,,no DOI recorded
The Anstis appeal and self-education expenses: deduction denial more likely,,no DOI recorded
$250 deduction denial for expenses of self-education: Retention of Section 82A is a mystery,,no DOI recorded
Are Mortgage Discharge Fees and Expenses,,no DOI recorded
"Continuity of Business Test and Large Company Tax Losses: Yes, No, Perhaps and Yes Again",,no DOI recorded
Enactment of deduction rule regarding travel between workplaces or income producing activities can lead to errors,,no DOI recorded
Inclusion in cost base of investment property of interest denied deductibility under a split loan because of Part IVA: some follow up analysis,,no DOI recorded
Share sales at amounts significantly in excess of market value on long-dated payment terms,,no DOI recorded
Should CGT Asset Cost Base Inclusion take Priority over the Black-Hole Expenditure Section?,,no DOI recorded
"The ""no gain/no loss"" rule: A reminder of nothings",,no DOI recorded
ATO`s determination on CGT cost base inclusion for interest expenditure denied deductibility under split loans because of Part IVA is flawed and misleading,,no DOI recorded
Is the Australian Taxation Office failing to use all its weapons aggressive tax planning? An analysis against the facts in Puzey v FCT,,no DOI recorded
Does the interest expenditure denied deductibility in Hart's case enter the CGT cost base of the investment property? An examination of the key issues,,no DOI recorded
