"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"uwa-finance-013","Lee Smales","Professor","E","a-test-of-through-the-cycle-ratings-moodys-response-to-covid-19","A Test of Through-the-Cycle Ratings: Moody’s Response to COVID-19","2026","https://research-repository.uwa.edu.au/en/publications/a-test-of-through-the-cycle-ratings-moodys-response-to-covid-19/","10.1016/j.ribaf.2026.103297","Research in International Business and Finance","0275-5319","","A","3502","Lee A. Smales","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-007","Frank Liu","Associate Professor","D","a-test-of-through-the-cycle-ratings-moodys-response-to-covid-19","A Test of Through-the-Cycle Ratings: Moody’s Response to COVID-19","2026","https://research-repository.uwa.edu.au/en/publications/a-test-of-through-the-cycle-ratings-moodys-response-to-covid-19/","10.1016/j.ribaf.2026.103297","Research in International Business and Finance","0275-5319","","A","3502","Zhangxin (Frank) Liu","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-007","Frank Liu","Associate Professor","D","ai-may-raise-the-bar-and-thin-the-pipeline","AI may raise the bar and thin the pipeline","2026","https://research-repository.uwa.edu.au/en/publications/ai-may-raise-the-bar-and-thin-the-pipeline/","10.1126/science.aeh4940","Science","0036-8075","","","","Zhangxin (Frank) Liu","Pure profile URL","high","unmatched","unmatched"
"uwa-finance-009","Joey Yang","Associate Professor","D","asymmetric-impact-of-compliance-management-reform-on-opportunisti","Asymmetric impact of compliance management reform on opportunistic insider trading: Evidence from Chinese state-owned enterprises","2026","https://research-repository.uwa.edu.au/en/publications/asymmetric-impact-of-compliance-management-reform-on-opportunisti/","10.1016/j.ememar.2026.101438","Emerging Markets Review","1566-0141","","A","3502","Joey Wenling Yang","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-003","Dirk Baur","Professor","E","charging-up-on-lithium-the-metal-or-the-miner","Charging up on lithium: the metal or the miner?","2026","https://research-repository.uwa.edu.au/en/publications/charging-up-on-lithium-the-metal-or-the-miner/","10.1016/j.jcomm.2026.100554","Journal of Commodity Markets","2405-8513","","A","3502","Dirk G. Baur","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-007","Frank Liu","Associate Professor","D","closer-and-greener-the-interplay-of-buyer-environmental-investmen","Closer and Greener: The Interplay of Buyer Environmental Investments, Supplier Emissions, and Supplier Environmental Practices","2026","https://research-repository.uwa.edu.au/en/publications/closer-and-greener-the-interplay-of-buyer-environmental-investmen/","10.1002/bse.71155","Business Strategy and the Environment","0964-4733","","A","3507","Zhangxin (Frank) Liu","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-007","Frank Liu","Associate Professor","D","cutting-corners-cutting-dividends-evidence-from-reverse-mergers-i","Cutting corners, cutting dividends: Evidence from reverse mergers in China","2026","https://research-repository.uwa.edu.au/en/publications/cutting-corners-cutting-dividends-evidence-from-reverse-mergers-i/","10.1016/j.ememar.2025.101403","Emerging Markets Review","1566-0141","","A","3502","Zhangxin (Frank) Liu","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-003","Dirk Baur","Professor","E","decoding-dai-exploring-collateral-evolution-and-price-dynamics","Decoding DAI: exploring collateral evolution and price dynamics","2026","https://research-repository.uwa.edu.au/en/publications/decoding-dai-exploring-collateral-evolution-and-price-dynamics/","10.1080/1351847X.2026.2688508","European Journal of Finance","1351-847X","","A","3502","Dirk Baur","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-013","Lee Smales","Professor","E","decoding-dai-exploring-collateral-evolution-and-price-dynamics","Decoding DAI: exploring collateral evolution and price dynamics","2026","https://research-repository.uwa.edu.au/en/publications/decoding-dai-exploring-collateral-evolution-and-price-dynamics/","10.1080/1351847X.2026.2688508","European Journal of Finance","1351-847X","","A","3502","Lee Smales","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-finance-003","Dirk Baur","Professor","E","do-investors-care-about-climate-commitments-evidence-from-net-zer","Do investors care about climate commitments? evidence from Net Zero Banking Alliance withdrawals","2026","https://research-repository.uwa.edu.au/en/publications/do-investors-care-about-climate-commitments-evidence-from-net-zer/","10.1016/j.frl.2026.110009","Finance Research Letters","1544-6123","","A","3502","Dirk G. Baur","Pure profile URL","high","ISSN/eISSN","matched"
